respect,尊敬する
will,意志
individual,個人の
Take it easy.,気楽にやれ(文)
assure,"(~) A (that)":A(人)に～を確約する
turn out, ...という結果になる
let go of,...を離す
negative,悲観的な
outlook,見方[態度]
maintain,維持する
positive,積極的な
attitude,態度
fair,公平な
regardless of,...にかかわらず
national,国の
origin,起源
gender,性別
creed,信条
equality,平等
guarantee,...を保証する
constitution,憲法
lean,...に寄り掛かる
pillar,柱
gaze,じっと見つめる
statue,彫像
liberty,自由
pass by,そばを通り過ぎる
give off,...を発する
subtle,かすかな
scent,香り
perfume,香水
remind,思い出させる
ex,前の
smell,においがする
awful,ひどい
taste,...な味がする
terrific,すばらしい
soaked,びしょ濡れの
sweat,汗
stand back,後ろに下がる
stink,悪臭がする
take a shower,シャワーを浴びる
be beside oneself,ひどく興奮する
scarcely,ほとんど(...し)ない
tell A from B,AをBと区別する
fact,現実
fiction,作り話 虚構
novel,小説
combine,組み合わせる
prose,散文
gift,(天賦の)才能
poetry,(文学の一分野の)詩
publish,...を出版する
up-to-date,最新の
edition,(本などの)版
encyclopedia,百科事典
come out,発売される
translate,翻訳する
fascinating,魅了する おもしろい
fairy,おとぎ話
tale,話 物語
plain,平易な
following,以下の
passage,一節
quote,引用する
well-known,有名な
fable,寓話
familiar,よく知っている
contemporary,現代の
literature,文学
next to,ほとんど
at times,たまに，時々
confuse,...を混同する
curve,曲線
carve,...を彫る
shy,恥ずかしがりの
pronunciation,発音
more or less,だいたい
correct,正しい
article,記事
contain,...を含んでいる
tip,役立つ情報
those who,～という人たち
eager,熱心な
increase,...を増やす
vocabulary,語彙
latest,最新の
work,作品
display,展示
hall,廊下
fabulous,すてきな
description,描写 叙述
move over,席を詰める
realize,...ということに気づく
take up,...を取る
ugly,醜い
object,物体
a piece of,１つ[１個]の
abstract,抽象的な
beg,すがってお願いする
lend,...を貸す
buck,ドル
shake one's head,NOと言う 首を横に振る
be broke,お金がない すっからかんだ
apt,適切な
impulse,衝動
on sale,バーゲンで
So am I.,私もそうです(文)
as it is,実際のところ
ordinary,普通の
can afford,...に費やす余裕がある
purchase,...を購入する
luxury,贅沢品
anticipate,...を予期する
unemployment,失業
rate,率 割合
rise,上がる 増える
quarter,四半期
row,列
cut down on,...を減らす
expence,出費
from now on,これからは
track,タイヤ跡
daily,毎日の
on a basis,...という基準[やり方]で
case,場合
union,労働組合
compromise,妥協する
certain,ある特定の
extent,程度 範囲
competent,能力[技能]を持つ
mechanic,整備士 修理工
demand,需要
earn,...を稼ぐ
decent,かなりよい
wages,賃金
president,社長
announce,...を公表[発表]する
concrete,具体的な
carry out,...を実行する
welfare,福祉
reform,改革
policy,政策
doubt,疑念
lead,...を先導する
dismal,気分を暗くさせる(形)
consequence,(当然の)結果 影響[普通は[望ましくない結果]]
thorough,徹底的な
review,見直し
it goes without saying that,~は言うまでもない
aging,高齢化
inevitable,避けられない
take a look at,...をちょっと見る
chart,図 表
indicate,...を示す
juvenile,青少年の 少年の
delinquency,非行
be on the increase,増加している 増加傾向にある
alarming,深刻な
at a rate,...なペースで
district,地区
a lot of,たくさんの
vacant,誰もいない
lot,1区画
be for sale,売り物である
population,人口
density,密度
metropolis,大都市
gradually,徐々に
decrease,減少[低下]する
in all likelihood,ほぼ間違いなく
birthrate,出生率
continue,続く ...を続ける
decline,減少する
steadily,着実に
to come,これから来る...
